@relation 'adult randomized-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1'

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute result {' <=50K',' >50K'}

@data
1.732051,1.732051,-1.732051,0,0,0,-1.732051,3.464102,0,-1.732051,' <=50K'
1.732051,3.464102,0,1.732051,0,-1.732051,-1.732051,3.464102,0,-1.732051,' <=50K'
0,0,-1.732051,1.732051,0,0,-1.732051,1.732051,0,-1.732051,' >50K'
0,0,-1.732051,0,0,-1.732051,-1.732051,6.928203,0,-3.464102,' <=50K'
1.732051,-1.732051,0,-1.732051,-1.732051,1.732051,-1.732051,1.732051,1.732051,-1.732051,' <=50K'
1.732051,0,0,-3.464102,0,1.732051,-1.732051,1.732051,1.732051,-1.732051,' <=50K'
1.732051,1.732051,0,1.732051,-1.732051,0,0,0,0,1.732051,' >50K'
3.464102,1.732051,-1.732051,1.732051,0,1.732051,-1.732051,1.732051,0,1.732051,' <=50K'
1.732051,0,0,0,-1.732051,-1.732051,-1.732051,1.732051,1.732051,-5.196152,' >50K'
0,3.464102,0,0,-1.732051,-1.732051,0,3.464102,0,-1.732051,' <=50K'
0,0,-1.732051,1.732051,0,0,-1.732051,1.732051,0,-1.732051,' >50K'
0,0,1.732051,-1.732051,-1.732051,-1.732051,-3.464102,1.732051,1.732051,-1.732051,' <=50K'
0,0,0,0,1.732051,0,-1.732051,0,0,-3.464102,' <=50K'
1.732051,1.732051,-1.732051,0,-1.732051,0,0,3.464102,0,-3.464102,' >50K'
1.732051,1.732051,0,0,-1.732051,0,-1.732051,1.732051,0,-1.732051,' >50K'
1.732051,0,-1.732051,-1.732051,0,0,-1.732051,5.196152,0,-3.464102,' <=50K'
1.732051,1.732051,-1.732051,0,0,0,-1.732051,3.464102,0,-1.732051,' <=50K'
1.732051,1.732051,0,-1.732051,-3.464102,1.732051,-3.464102,0,-1.732051,-1.732051,' >50K'
1.732051,0,-1.732051,1.732051,0,0,-1.732051,5.196152,0,0,' <=50K'
0,0,-1.732051,0,-1.732051,0,-1.732051,0,0,-1.732051,' <=50K'
0,0,-1.732051,0,0,0,-1.732051,5.196152,0,-3.464102,' >50K'
3.464102,1.732051,-1.732051,1.732051,0,1.732051,-1.732051,1.732051,0,1.732051,' <=50K'
1.732051,1.732051,-1.732051,0,0,0,-1.732051,3.464102,0,-1.732051,' <=50K'
0,1.732051,0,0,-1.732051,-1.732051,-1.732051,3.464102,0,0,' <=50K'
1.732051,0,-1.732051,3.464102,0,0,-1.732051,3.464102,0,0,' >50K'
0,0,-1.732051,1.732051,0,-3.464102,-3.464102,5.196152,0,-3.464102,' <=50K'
1.732051,0,-1.732051,0,0,0,-1.732051,3.464102,-1.732051,-1.732051,' >50K'
0,0,-1.732051,0,-1.732051,0,-1.732051,0,0,-1.732051,' <=50K'
-1.732051,0,-1.732051,0,-1.732051,-1.732051,-1.732051,5.196152,0,-3.464102,' >50K'
0,1.732051,0,0,-1.732051,-1.732051,-3.464102,1.732051,0,0,' <=50K'
0,1.732051,0,1.732051,-3.464102,-3.464102,-1.732051,1.732051,0,-1.732051,' >50K'
0,0,-1.732051,0,-1.732051,-1.732051,-1.732051,1.732051,0,-1.732051,' <=50K'
-1.732051,0,-1.732051,0,-1.732051,-3.464102,-3.464102,1.732051,1.732051,-3.464102,' >50K'
1.732051,1.732051,-3.464102,3.464102,0,0,1.732051,5.196152,0,-1.732051,' >50K'
3.464102,1.732051,-1.732051,1.732051,1.732051,0,-1.732051,0,0,-1.732051,' <=50K'
1.732051,3.464102,0,1.732051,0,-1.732051,-1.732051,3.464102,0,-1.732051,' <=50K'
0,0,-1.732051,0,-1.732051,-1.732051,-1.732051,3.464102,-1.732051,-1.732051,' <=50K'
0,0,1.732051,0,0,0,-3.464102,3.464102,0,0,' <=50K'
0,0,0,0,-1.732051,0,-1.732051,0,0,0,' <=50K'
1.732051,0,0,-1.732051,0,1.732051,-3.464102,1.732051,0,-1.732051,' <=50K'
-1.732051,0,0,0,-1.732051,-1.732051,-3.464102,3.464102,0,-1.732051,' <=50K'
3.464102,0,0,-1.732051,0,0,-1.732051,1.732051,0,-1.732051,' <=50K'
1.732051,1.732051,-1.732051,3.464102,0,-1.732051,-1.732051,1.732051,-1.732051,0,' <=50K'
1.732051,0,-1.732051,0,0,0,-1.732051,3.464102,-1.732051,-1.732051,' <=50K'
1.732051,0,-3.464102,1.732051,-1.732051,0,-1.732051,1.732051,0,-1.732051,' >50K'
0,0,-1.732051,0,0,0,-1.732051,5.196152,0,-3.464102,' >50K'
0,1.732051,-1.732051,0,-3.464102,-1.732051,0,3.464102,0,-3.464102,' >50K'
0,0,-1.732051,0,-1.732051,0,-1.732051,0,0,-1.732051,' <=50K'
