@relation 'RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R4,8_clustered'

@attribute Instance_number numeric
@attribute ﻿Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Fare {0,1,2,3}
@attribute Has_Cabin {0,1}
@attribute FamilySize {1,2,3,4,5,6,7,8,11}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,0,2,1,1,0,1,cluster0
1,0,1,1,3,1,2,cluster3
2,0,3,0,1,0,1,cluster0
3,0,3,1,0,0,1,cluster2
4,0,2,1,2,0,1,cluster0
5,1,3,1,0,0,1,cluster2
6,1,1,0,3,1,2,cluster3
7,1,2,0,2,0,6,cluster1
8,0,2,1,1,0,1,cluster0
9,1,2,0,2,0,2,cluster1
10,1,3,0,0,0,1,cluster2
11,0,2,0,1,0,1,cluster0
12,0,1,1,3,1,1,cluster3
13,0,3,1,2,0,2,cluster1
14,1,3,0,1,0,1,cluster0
15,0,3,0,1,0,2,cluster1
16,0,3,1,1,0,1,cluster0
17,0,3,1,1,0,1,cluster0
18,1,1,0,3,1,5,cluster3
19,1,2,1,1,0,1,cluster0
20,0,1,1,3,1,2,cluster3
21,1,1,0,3,1,4,cluster3
22,1,2,0,1,0,1,cluster0
23,1,2,0,1,0,2,cluster0
24,0,2,1,1,0,1,cluster0
25,0,3,1,0,0,1,cluster2
26,0,3,1,0,0,1,cluster2
27,0,3,1,1,0,1,cluster0
28,0,1,1,0,0,1,cluster2
29,1,1,0,3,1,2,cluster3
30,1,1,0,3,1,1,cluster3
31,0,3,1,1,0,1,cluster0
32,0,2,1,0,0,1,cluster0
33,1,3,1,0,0,1,cluster2
34,0,1,1,2,1,1,cluster3
35,1,3,0,1,0,2,cluster1
36,0,2,1,3,0,3,cluster0
37,0,3,1,2,0,2,cluster1
38,0,3,1,0,0,1,cluster2
39,0,3,1,3,0,1,cluster2
40,0,3,1,2,0,1,cluster2
41,0,3,1,0,0,2,cluster2
42,1,1,0,3,1,4,cluster3
43,0,2,1,0,0,1,cluster0
44,1,1,1,3,1,2,cluster3
45,0,3,1,2,0,6,cluster1
46,1,3,0,0,0,1,cluster2
47,1,1,1,3,1,2,cluster3
48,0,3,1,0,0,1,cluster2
49,0,3,1,3,0,6,cluster2
50,1,1,0,3,1,2,cluster3
51,0,3,1,2,0,3,cluster1
52,0,1,1,3,1,2,cluster3
53,1,1,0,3,1,2,cluster3
54,0,1,1,0,1,1,cluster3
55,1,3,0,2,1,3,cluster1
56,1,3,1,1,0,1,cluster0
57,0,2,1,1,0,1,cluster0
58,1,3,1,1,0,1,cluster0
59,0,1,1,3,1,1,cluster3
60,0,3,1,1,0,1,cluster0
61,0,3,1,1,0,1,cluster0
62,1,1,1,3,0,3,cluster3
63,0,3,1,0,0,1,cluster2
64,0,2,1,1,0,1,cluster0
65,1,2,0,1,0,1,cluster0
66,0,3,1,0,0,1,cluster2
67,1,2,0,1,0,1,cluster0
68,1,3,1,1,0,1,cluster0
69,0,3,1,1,0,1,cluster0
70,1,3,0,2,0,4,cluster1
71,1,1,0,3,1,2,cluster3
72,1,3,1,0,0,1,cluster2
73,0,2,1,2,0,2,cluster0
74,0,3,0,0,0,1,cluster2
75,1,3,0,0,0,1,cluster2
76,0,3,1,0,0,1,cluster2
77,1,2,0,1,0,1,cluster0
78,1,3,1,3,0,1,cluster2
79,0,2,0,2,0,2,cluster1
80,0,3,1,2,0,1,cluster2
81,1,1,0,3,1,2,cluster3
82,1,3,0,1,0,1,cluster0
83,0,2,1,1,0,1,cluster0
84,0,2,1,1,0,1,cluster0
85,0,3,1,0,0,1,cluster2
86,0,1,1,3,1,2,cluster3
87,0,3,1,1,0,1,cluster0
88,1,3,0,2,0,3,cluster1
89,1,3,1,2,0,3,cluster1
90,0,3,1,0,0,1,cluster2
91,0,3,1,2,0,2,cluster1
92,0,3,1,0,0,1,cluster2
93,1,2,0,2,0,1,cluster0
94,0,1,1,3,1,1,cluster3
95,0,3,1,0,0,1,cluster2
96,0,3,0,1,0,2,cluster1
97,1,3,1,2,0,3,cluster1
98,1,3,1,0,0,1,cluster2
99,1,2,0,2,0,2,cluster1
100,1,1,0,2,1,1,cluster3
101,0,3,0,3,0,6,cluster1
102,1,1,1,3,1,2,cluster3
103,1,3,0,0,0,1,cluster2
104,0,3,0,0,0,1,cluster2
105,0,3,1,0,0,1,cluster2
106,0,3,1,0,0,1,cluster2
107,0,3,1,3,0,5,cluster2
108,1,3,0,0,0,1,cluster2
109,1,3,0,2,1,3,cluster1
110,0,3,1,0,0,1,cluster2
111,1,3,0,0,0,1,cluster2
112,0,3,1,3,0,6,cluster2
113,0,3,1,1,0,1,cluster0
114,0,3,1,0,0,1,cluster2
115,0,3,1,1,0,1,cluster0
116,0,1,1,3,1,3,cluster3
117,1,3,0,0,0,1,cluster2
118,0,3,1,2,0,3,cluster1
119,1,1,0,2,1,3,cluster1
120,1,3,1,2,0,3,cluster1
121,0,3,1,0,0,1,cluster2
122,0,3,1,0,0,1,cluster2
123,0,3,1,0,0,1,cluster2
124,0,3,1,2,0,2,cluster1
125,0,3,1,0,0,1,cluster2
126,0,3,1,0,0,1,cluster2
127,1,2,0,2,0,2,cluster1
128,0,3,0,1,0,3,cluster1
129,1,1,0,3,1,2,cluster3
130,1,3,1,1,0,2,cluster0
131,0,3,1,2,0,1,cluster2
132,1,3,0,2,0,3,cluster1
133,1,1,1,3,1,2,cluster3
134,0,3,1,0,0,1,cluster2
135,0,3,1,0,0,1,cluster2
136,0,3,1,0,0,2,cluster2
137,1,2,1,1,0,1,cluster0
138,1,2,0,1,0,1,cluster0
139,1,1,0,3,0,3,cluster1
140,0,3,0,1,0,2,cluster1
141,0,1,1,3,1,1,cluster3
142,1,3,0,0,0,1,cluster2
143,1,3,0,0,0,2,cluster1
144,1,1,0,3,1,1,cluster3
145,0,1,1,3,1,1,cluster3
146,1,3,0,0,0,1,cluster2
147,0,1,1,2,1,1,cluster3
148,1,3,1,1,1,2,cluster0
149,0,3,1,0,0,1,cluster2
150,1,1,0,3,1,2,cluster3
151,0,2,1,2,1,3,cluster0
152,1,3,1,1,0,2,cluster0
153,1,1,1,3,1,2,cluster3
154,0,3,1,0,0,1,cluster2
155,0,3,1,1,0,1,cluster0
156,0,2,1,1,0,1,cluster0
157,0,1,1,3,1,2,cluster3
158,1,3,0,1,0,1,cluster0
159,0,1,1,3,0,2,cluster3
160,0,3,1,1,0,1,cluster0
161,0,3,0,0,0,1,cluster2
162,1,3,0,1,0,2,cluster1
163,0,3,1,0,0,3,cluster2
164,0,2,1,1,0,1,cluster0
165,0,3,0,2,0,3,cluster1
166,0,3,1,0,0,1,cluster2
167,0,3,1,0,0,1,cluster2
168,0,3,1,2,0,1,cluster2
169,0,3,1,0,0,2,cluster2
170,1,1,0,3,1,2,cluster3
171,0,3,1,0,0,1,cluster2
172,0,3,1,0,0,1,cluster2
173,0,3,1,0,0,1,cluster2
174,1,3,0,2,0,3,cluster1
175,0,1,1,2,1,1,cluster3
176,1,1,0,3,1,1,cluster3
177,0,3,1,1,0,1,cluster0
178,0,1,1,3,1,6,cluster3
179,1,2,0,2,0,2,cluster1
180,0,2,1,2,0,2,cluster0
181,1,2,0,2,0,3,cluster1
182,0,3,1,0,0,1,cluster2
183,1,1,0,3,1,1,cluster3
184,0,3,1,2,0,5,cluster1
185,0,3,1,2,0,1,cluster2
186,0,3,1,1,0,1,cluster0
187,0,3,1,2,0,1,cluster2
188,0,2,1,1,0,1,cluster0
189,1,3,0,0,0,1,cluster2
190,0,2,1,1,0,1,cluster0
191,0,3,1,1,0,1,cluster0
192,0,3,1,0,0,1,cluster2
193,1,3,1,1,0,1,cluster0
194,0,3,1,0,0,2,cluster2
195,0,2,1,0,0,1,cluster0
196,0,3,1,0,0,1,cluster2
197,1,1,1,3,1,2,cluster3
198,1,1,0,3,1,1,cluster3
199,0,3,1,0,0,1,cluster2
200,0,3,1,1,0,1,cluster0
201,1,1,0,3,0,1,cluster3
202,1,3,1,1,0,1,cluster0
203,0,3,1,0,0,1,cluster2
204,1,3,1,0,0,1,cluster2
205,0,2,1,1,0,1,cluster0
206,0,3,1,0,0,1,cluster2
207,1,2,0,1,1,1,cluster0
208,0,3,0,0,0,1,cluster2
209,1,1,0,3,1,6,cluster3
210,1,1,1,2,1,1,cluster3
211,0,3,1,3,0,8,cluster2
212,0,3,0,2,0,2,cluster1
213,0,3,0,3,0,11,cluster1
214,0,3,1,1,0,1,cluster0
215,1,1,0,3,1,2,cluster3
216,0,3,1,2,0,2,cluster1
217,1,3,0,2,0,2,cluster1
218,1,3,1,1,0,2,cluster0
219,1,1,0,3,1,1,cluster3
220,1,2,0,2,0,3,cluster1
221,1,2,0,2,0,3,cluster1
222,0,3,1,0,0,1,cluster2
223,1,1,0,3,1,2,cluster3
224,0,2,1,3,0,3,cluster0
225,0,3,1,0,0,1,cluster2
226,1,2,0,2,0,2,cluster1
227,1,3,1,0,0,1,cluster2
228,0,3,1,0,0,1,cluster2
229,0,3,1,0,0,1,cluster2
230,1,3,1,0,0,2,cluster2
231,1,2,0,2,0,2,cluster1
232,0,2,1,1,0,1,cluster0
233,1,2,0,3,0,3,cluster0
234,0,3,1,3,0,8,cluster2
235,1,3,1,2,0,1,cluster2
236,0,2,1,2,0,1,cluster0
237,0,2,1,3,0,1,cluster0
238,1,1,0,3,1,1,cluster3
239,0,2,1,1,0,2,cluster0
240,0,2,1,1,0,1,cluster0
241,1,2,0,2,0,3,cluster1
242,0,3,1,2,0,1,cluster2
243,0,3,1,0,0,2,cluster2
244,1,1,0,3,1,6,cluster3
245,0,3,1,1,0,1,cluster0
246,1,3,0,2,0,2,cluster1
247,0,3,1,0,0,1,cluster2
248,1,1,1,2,1,1,cluster3
249,0,2,1,1,0,1,cluster0
250,0,3,1,0,0,1,cluster2
251,0,3,1,0,0,2,cluster2
252,0,3,1,0,0,1,cluster2
253,0,3,0,2,0,6,cluster1
254,1,3,0,2,0,4,cluster1
255,0,3,0,2,0,3,cluster1
256,1,3,1,3,0,1,cluster2
