@relation 'RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R4,8'

@attribute ﻿Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Fare {0,1,2,3}
@attribute Has_Cabin {0,1}
@attribute FamilySize {1,2,3,4,5,6,7,8,11}

@data
0,2,1,1,0,1
0,1,1,3,1,2
0,3,0,1,0,1
0,3,1,0,0,1
0,2,1,2,0,1
1,3,1,0,0,1
1,1,0,3,1,2
1,2,0,2,0,6
0,2,1,1,0,1
1,2,0,2,0,2
1,3,0,0,0,1
0,2,0,1,0,1
0,1,1,3,1,1
0,3,1,2,0,2
1,3,0,1,0,1
0,3,0,1,0,2
0,3,1,1,0,1
0,3,1,1,0,1
1,1,0,3,1,5
1,2,1,1,0,1
0,1,1,3,1,2
1,1,0,3,1,4
1,2,0,1,0,1
1,2,0,1,0,2
0,2,1,1,0,1
0,3,1,0,0,1
0,3,1,0,0,1
0,3,1,1,0,1
0,1,1,0,0,1
1,1,0,3,1,2
1,1,0,3,1,1
0,3,1,1,0,1
0,2,1,0,0,1
1,3,1,0,0,1
0,1,1,2,1,1
1,3,0,1,0,2
0,2,1,3,0,3
0,3,1,2,0,2
0,3,1,0,0,1
0,3,1,3,0,1
0,3,1,2,0,1
0,3,1,0,0,2
1,1,0,3,1,4
0,2,1,0,0,1
1,1,1,3,1,2
0,3,1,2,0,6
1,3,0,0,0,1
1,1,1,3,1,2
0,3,1,0,0,1
0,3,1,3,0,6
1,1,0,3,1,2
0,3,1,2,0,3
0,1,1,3,1,2
1,1,0,3,1,2
0,1,1,0,1,1
1,3,0,2,1,3
1,3,1,1,0,1
0,2,1,1,0,1
1,3,1,1,0,1
0,1,1,3,1,1
0,3,1,1,0,1
0,3,1,1,0,1
1,1,1,3,0,3
0,3,1,0,0,1
0,2,1,1,0,1
1,2,0,1,0,1
0,3,1,0,0,1
1,2,0,1,0,1
1,3,1,1,0,1
0,3,1,1,0,1
1,3,0,2,0,4
1,1,0,3,1,2
1,3,1,0,0,1
0,2,1,2,0,2
