@relation 'RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R4,8_clustered'

@attribute Instance_number numeric
@attribute ﻿Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Fare {0,1,2,3}
@attribute Has_Cabin {0,1}
@attribute FamilySize {1,2,3,4,5,6,7,8,11}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,0,2,1,1,0,1,cluster2
1,0,1,1,3,1,2,cluster0
2,0,3,0,1,0,1,cluster2
3,0,3,1,0,0,1,cluster2
4,0,2,1,2,0,1,cluster2
5,1,3,1,0,0,1,cluster2
6,1,1,0,3,1,2,cluster0
7,1,2,0,2,0,6,cluster1
8,0,2,1,1,0,1,cluster2
9,1,2,0,2,0,2,cluster1
10,1,3,0,0,0,1,cluster2
11,0,2,0,1,0,1,cluster2
12,0,1,1,3,1,1,cluster0
13,0,3,1,2,0,2,cluster1
14,1,3,0,1,0,1,cluster2
15,0,3,0,1,0,2,cluster1
16,0,3,1,1,0,1,cluster2
17,0,3,1,1,0,1,cluster2
18,1,1,0,3,1,5,cluster0
19,1,2,1,1,0,1,cluster2
20,0,1,1,3,1,2,cluster0
21,1,1,0,3,1,4,cluster0
22,1,2,0,1,0,1,cluster2
23,1,2,0,1,0,2,cluster1
24,0,2,1,1,0,1,cluster2
25,0,3,1,0,0,1,cluster2
26,0,3,1,0,0,1,cluster2
27,0,3,1,1,0,1,cluster2
28,0,1,1,0,0,1,cluster2
29,1,1,0,3,1,2,cluster0
30,1,1,0,3,1,1,cluster0
31,0,3,1,1,0,1,cluster2
32,0,2,1,0,0,1,cluster2
33,1,3,1,0,0,1,cluster2
34,0,1,1,2,1,1,cluster0
35,1,3,0,1,0,2,cluster1
36,0,2,1,3,0,3,cluster1
37,0,3,1,2,0,2,cluster1
38,0,3,1,0,0,1,cluster2
39,0,3,1,3,0,1,cluster2
40,0,3,1,2,0,1,cluster2
41,0,3,1,0,0,2,cluster2
42,1,1,0,3,1,4,cluster0
43,0,2,1,0,0,1,cluster2
44,1,1,1,3,1,2,cluster0
45,0,3,1,2,0,6,cluster1
46,1,3,0,0,0,1,cluster2
47,1,1,1,3,1,2,cluster0
48,0,3,1,0,0,1,cluster2
49,0,3,1,3,0,6,cluster1
50,1,1,0,3,1,2,cluster0
51,0,3,1,2,0,3,cluster1
52,0,1,1,3,1,2,cluster0
53,1,1,0,3,1,2,cluster0
54,0,1,1,0,1,1,cluster0
55,1,3,0,2,1,3,cluster1
56,1,3,1,1,0,1,cluster2
57,0,2,1,1,0,1,cluster2
58,1,3,1,1,0,1,cluster2
59,0,1,1,3,1,1,cluster0
60,0,3,1,1,0,1,cluster2
61,0,3,1,1,0,1,cluster2
62,1,1,1,3,0,3,cluster0
63,0,3,1,0,0,1,cluster2
64,0,2,1,1,0,1,cluster2
65,1,2,0,1,0,1,cluster2
66,0,3,1,0,0,1,cluster2
67,1,2,0,1,0,1,cluster2
68,1,3,1,1,0,1,cluster2
69,0,3,1,1,0,1,cluster2
70,1,3,0,2,0,4,cluster1
71,1,1,0,3,1,2,cluster0
72,1,3,1,0,0,1,cluster2
73,0,2,1,2,0,2,cluster1
74,0,3,0,0,0,1,cluster2
75,1,3,0,0,0,1,cluster2
76,0,3,1,0,0,1,cluster2
77,1,2,0,1,0,1,cluster2
78,1,3,1,3,0,1,cluster2
79,0,2,0,2,0,2,cluster1
80,0,3,1,2,0,1,cluster2
81,1,1,0,3,1,2,cluster0
82,1,3,0,1,0,1,cluster2
83,0,2,1,1,0,1,cluster2
84,0,2,1,1,0,1,cluster2
85,0,3,1,0,0,1,cluster2
86,0,1,1,3,1,2,cluster0
87,0,3,1,1,0,1,cluster2
88,1,3,0,2,0,3,cluster1
89,1,3,1,2,0,3,cluster1
90,0,3,1,0,0,1,cluster2
91,0,3,1,2,0,2,cluster1
92,0,3,1,0,0,1,cluster2
93,1,2,0,2,0,1,cluster1
